PrimaryID,CEI,OT,HRES,NED,NECM,NEI,MCNCP2,NEW,TCED,MCED,MCIND,TNCID,NCIO,CEO,NCP,MINCP,MCMNCP,MCNCP1,LPP,CNWP,CNCM,CND,CNFP,CNSP
979494,0,0,0,1,1,0,0,1,46,45,0,0,0,46,0,0,0,0,5361,4,1,1,2,7
3488446,0,0,0,1,1,0,0,0,57,56,1,1,1,57,0,0,0,0,479,540,94,52,4,1006
1408123,0,0,0,1,1,0,0,1,15,14,0,0,0,15,0,0,0,0,3053,2,4,4,0,2
704058,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,1,1,0,0
281630,0,0,0,1,1,0,0,1,4,3,0,0,0,4,0,0,0,0,9797,1,1,1,0,1
1126506,0,0,0,1,1,0,0,2,15,14,2,2,2,15,0,0,0,0,5915,3,1,1,1,3
1681478,0,0,0,1,1,0,0,0,32,31,0,0,0,32,0,0,0,0,9797,2,1,1,351,2
1126514,0,0,0,1,1,0,0,2,27,26,2,2,2,27,0,0,0,0,0,6,1,1,15,0
20,1,0,0,1,1,2,0,4,147,146,7,7,7,147,0,0,0,0,1925,7,2,2,31,7
4230556,0,0,0,1,1,0,0,0,159,158,3,3,3,159,0,0,0,0,5361,1,1,1,149,2
563216,0,0,0,1,1,0,0,1,25,24,0,0,0,25,0,0,0,0,0,1,1,1,56,0
140835,1,1,0,3,3,2,0,3,226,174,5,6,0,0,0,0,0,0,0,8,7,7,0,0
34250279,0,1,0,3,3,0,0,0,20,14,0,0,0,0,0,0,0,0,0,0,3,3,0,0
1530444,0,0,0,1,1,0,0,1,14,13,0,0,0,14,0,0,0,0,3486,1,1,1,30,0
1250901,0,0,0,1,1,0,1,0,15,14,0,0,0,15,1,0,1,2,6715,0,3,3,79,5
140848,1,0,0,4,7,10,0,43,530,403,5,15,5,404,0,0,0,0,5915,221,119,79,118,306
64,0,0,0,2,2,0,0,1,157,137,2,2,2,19,0,0,0,0,5915,5,18,18,84,10
420439,0,0,0,1,1,0,0,0,96,95,0,0,0,96,0,0,0,0,0,0,1,1,2,0
2252931,0,0,0,1,1,0,0,0,458,457,2,2,0,0,0,0,0,0,7148,5,3,3,136,38
20014842,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,274,0,1,1,771,0
6343435,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,10,0
979579,0,0,0,1,1,0,0,5,265,264,4,4,4,265,0,0,0,0,5915,49,10,8,0,56
420424,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9797,1,1,1,32,2
2501808,0,0,0,1,1,0,0,0,11,10,0,0,0,11,0,0,0,0,7148,0,1,1,305,2
9012063,0,0,0,0,0,0,0,0,0,0,0,0,5,79,0,0,0,0,243,0,1,1,1,0
15047731,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,3,0,1
1126408,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,1,3,2
420477,0,0,0,2,3,1,0,4,129,70,0,0,7,86,0,0,0,0,7148,60,8,8,48,61
4724189,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,9797,11,3,3,554,14
7593305,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,3,19,0
140922,0,0,0,1,1,0,0,1,13,12,0,0,0,13,0,0,0,0,5361,1,1,1,0,1
2252987,0,0,0,1,1,0,0,0,23,22,3,3,3,23,0,0,0,0,6715,5,2,1,1,7
704078,0,0,0,1,1,0,0,1,33,32,0,0,0,33,0,0,0,0,0,1,1,1,16,17
9725709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,3,3,26,0
2501803,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,1,1,61,0
2921109,0,0,0,3,3,0,0,0,17,7,0,0,0,2,0,0,0,0,5361,1,6,6,38,1
979631,0,0,0,1,1,0,0,1,131,130,14,14,14,131,0,0,0,0,1017,1,1,1,428,1
281752,0,0,0,1,1,0,1,2,36,35,6,6,6,36,1,0,1,1,7148,13,1,1,112,15
2501716,0,0,0,1,1,0,0,0,184,183,1,1,1,184,0,0,0,0,5361,0,1,1,17,0
1530615,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,5361,0,1,1,33,0
24985473,0,1,0,4,4,0,0,0,309,131,1,1,0,0,0,0,0,0,0,0,4,4,8,0
1251058,0,0,0,0,0,0,9,3,0,0,0,0,11,245,2,36,10,54,9797,10,2,2,4,105
3488290,0,0,0,1,1,0,0,0,402,401,3,3,3,402,0,0,0,0,6715,4,2,2,61,4
170,0,0,0,3,3,0,0,1,1190,810,7,16,7,265,0,0,0,0,202,1,3,3,7,0
172,0,0,0,1,1,0,0,2,811,810,3,3,10,1695,0,0,0,0,7148,2,1,1,9,3
704156,0,0,0,1,1,0,0,1,24,23,0,0,0,24,0,0,0,0,0,1,1,1,8,0
420534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,34,0
160,0,0,0,7,12,0,0,0,1377,810,53,84,0,80,0,0,0,0,3,1,15,10,2,1
164,0,0,0,1,1,0,0,0,77,76,5,5,0,0,0,0,0,0,7148,1,3,3,9,0
24487829,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5361,0,8,8,9,0
7593373,0,0,0,3,4,0,0,6,1025,571,7,12,1,8,0,0,0,0,9797,1369,126,40,1,1658
176,1,1,0,7,18,47,0,1944,1523,954,124,154,0,0,0,0,0,0,9797,3350,235,135,2,3041
141004,1,0,0,1,1,3,0,1,157,156,11,11,11,157,0,0,0,0,7148,1,1,1,2,1
2252819,0,0,0,0,0,0,0,0,0,0,0,0,6,660,0,0,0,0,362,1,2,1,93,2
141009,0,0,0,1,1,0,0,1,80,79,0,0,0,80,0,0,0,0,5915,1,1,1,119,0
4162652,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,3486,1,2,2,0,1
3060784,0,0,0,1,1,0,0,0,3710,3709,20,20,0,0,0,0,0,0,7148,0,22,21,343,0
281800,0,0,0,1,1,0,0,0,37,36,0,0,0,37,0,0,0,0,9797,5,2,2,2,6
14939817,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,0
979659,0,0,0,1,1,0,0,1,14,13,0,0,0,14,0,0,0,0,269,1,1,1,0,1
4039280,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,6,0
840916,0,0,0,1,1,0,2,2,89,88,0,0,0,89,7,12,5,277,5915,2,1,1,6,2
2252859,0,0,0,1,1,0,0,0,15,14,0,0,0,15,0,0,0,0,5361,11,2,2,39,11
242,1,0,0,2,2,6,1,3,91,52,3,4,1,53,2,0,1,4,3053,67,10,7,0,73
2678272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892,1,3,3,5,0
563394,0,1,0,0,0,0,0,0,0,0,0,0,0,78605,0,0,0,0,0,1,6,5,9,1
141086,0,0,0,1,1,0,0,1,113,112,2,2,2,113,0,0,0,0,1329,6,1,1,0,6
277,1,1,0,3,6,10,0,38,1040,797,4,4,0,1,0,0,0,0,59,125,148,28,16,24
141074,1,0,0,13,15,29,0,21,288,86,4,25,0,35,0,0,0,0,9797,22,16,15,1199,33
1806148,0,0,0,1,1,0,0,0,408,407,13,13,13,408,0,0,0,0,7148,3,2,2,1475,8
9846911,0,0,0,0,0,0,0,1,0,0,0,0,0,26,0,0,0,0,6715,2,1,1,4,2
12121237,0,0,0,0,0,0,0,1,0,0,0,0,20,378,0,0,0,0,5361,1,1,1,4,1
840984,0,0,0,0,0,0,0,1,0,0,0,0,8,827,0,0,0,0,202,1,2,2,22,1
311,0,0,0,4,14,17,0,388,880,636,21,24,21,636,0,0,0,0,0,934,79,24,5,1874
2253294,0,0,0,1,1,0,0,0,5,4,0,0,0,105,0,0,0,0,0,4,1,1,1,5
840974,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3486,3,3,2,459,4
299,0,0,0,4,6,2,0,61,272,153,14,18,14,34,0,0,0,0,1291,1148,104,42,0,1710
141149,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3053,2,1,1,0,1
336,0,0,0,1,1,0,0,1,50,49,0,0,0,0,0,0,0,0,5361,1,1,1,49,1
2253206,0,0,0,0,0,0,0,0,0,0,0,0,1,47,0,0,0,0,7148,2,1,1,34,3
18024248,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,9797,1,1,1,61,1
335,0,0,0,1,1,0,0,1,80,79,0,0,0,80,0,0,0,0,7148,1,1,1,114,1
141120,0,0,0,2,2,7,0,1,100,91,0,0,0,92,0,0,0,0,6715,3,2,2,1858,3
2502045,0,0,0,1,1,0,1,0,1510,1509,6,6,6,1510,10,0,1,10,496,0,1,1,2,1
8325197,0,1,0,3,7,0,0,1,4504,4404,0,0,0,0,0,0,0,0,3486,801,331,88,8,938
141124,0,0,0,1,1,0,0,1,246,245,13,13,13,246,0,0,0,0,1586,1,1,1,447,0
6976522,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6715,0,1,1,2075,1
281953,0,0,0,1,1,0,0,1,3158,3157,38,38,38,3158,0,0,0,0,53,56,5,5,92,72
31959860,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,800,0
2678686,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,5361,1,1,1,0,2
979894,0,0,0,1,1,0,0,1,51,50,1,1,1,51,0,0,0,0,249,3,1,1,0,5
704430,1,0,0,1,2,12,0,2,27,26,2,2,2,27,0,0,0,0,6715,2,3,1,13,4
401,1,1,0,14,15,24,0,51,5463,3240,107,275,0,0,0,0,0,0,5361,71,94,65,110,74
394,0,0,0,2,3,3,0,8,300,291,5,5,5,292,0,0,0,0,18,81,28,19,18,107
141198,0,0,0,1,1,0,0,1,166,165,53,53,53,166,0,0,0,0,7148,10,2,1,146,7
1251285,0,0,0,0,0,0,0,0,0,0,0,0,16,594,0,0,0,0,5361,0,3,2,23,2
11372632,0,0,0,1,1,0,0,1,29,28,0,0,0,29,0,0,0,0,9797,3,1,1,2,3
282032,0,1,0,3,3,2,0,12,772,476,2,2,0,1,0,0,0,0,0,19,5,4,42,33
979852,0,0,0,1,1,0,0,1,2200,2199,1,1,1,2200,0,0,0,0,7148,2,1,1,1,3
5842046,0,0,0,0,0,0,0,0,0,0,0,0,51,329,0,0,0,0,5915,0,1,1,0,1
2253155,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,7148,1,1,1,203,3
2502008,0,0,0,1,1,0,0,0,8,7,0,0,0,8,0,0,0,0,1122,0,1,1,6339,1
11125850,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,5915,4,2,2,12,4
9293562,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5361,1,2,2,19,3
141266,0,0,0,2,2,0,0,1,102,100,0,0,0,101,0,0,0,0,7148,7,3,3,7,9
1959326,0,0,0,1,1,0,0,1,4,3,0,0,15,71,0,0,0,0,3053,5,3,3,0,8
1126839,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,1,1,4,0
282057,0,1,0,1,1,0,0,2,810,809,27,27,0,0,0,0,0,0,5361,2,2,2,10,0
979946,0,0,0,0,0,0,0,2,0,0,0,0,20,298,0,0,0,0,7148,4,2,1,33,7
27590671,0,0,0,1,1,0,0,0,14,13,1,1,0,0,0,0,0,0,0,3,11,9,37,15
841184,0,0,0,1,1,0,0,1,50,49,0,0,0,50,0,0,0,0,135,4,1,1,36,7
